Team ID,Team Name,Schedule ID,Schedule Name,Escalation Policy ID,Escalation Policy Name,Service ID,Service Name,Webhook ID,Webhook Name
"","","PFQ8FHK","ITS Network Operations Center SCH","","","","","",""
"PQIYIVS","ITS Library Applications","PKPX5BR","ITS Library Applications SCH","PXRO79E","ITS Library Applications EP","P3GHHP7","ITS Library Applications SVC","",""
"","","PFQ8FHK","ITS Network Operations Center SCH","","","","","",""
"PN9NHG2","ITS Mobile Technical Support","PVIP2HL","ITS Mobile Technical Support SCH","PJ5VYHM","ITS Mobile Technical Support EP","PHDFUFK","ITS Mobile Technical Support SVC","",""
"","","PFQ8FHK","ITS Network Operations Center SCH","","","","","",""
"P6ZMH3C","ITS Network Connectivity","PGD94M1","ITS Network Connectivity SCH","P4G0YX3","ITS Network Connectivity EP","PYLWXAG","ITS Network Connectivity SVC","",""
"","","PFQ8FHK","ITS Network Operations Center SCH","","","","","",""
"P30BGRP","ITS Network Engineers","PD3L49B","ITS Network Engineers SCH","PUBNW1W","ITS Network Engineers EP","PHRD0OU","ITS Network Engineers SVC","",""
"","","PFQ8FHK","ITS Network Operations Center SCH","","","","","",""
"PLJKGBW","ITS Network Mobility","PS9125Y","ITS Network Mobility SCH","PB8RRR7","ITS Network Mobility EP","PPA9RN4","ITS Network Mobility SVC","",""
"","","PFQ8FHK","ITS Network Operations Center SCH","","","","","",""
"PINZFM6","ITS Network Operations Center","PFQ8FHK","ITS Network Operations Center SCH","PQQUPN4","ITS Network Operations Center EP","P1FPP61","ITS Network Operations Center SVC","",""
"","","PZUA3XO","SN Network Team - Primary","","","","","",""
"PB20EXT","ITS Network Phone","PFQ8FHK","ITS Network Operations Center SCH","PO86BVM","ITS Network Phone EP","PC16GEU","ITS Network Phone SVC","",""
"","","PU9QKVL","ITS Network Phone SCH","","","","","",""
"","","POZD1T8","ITS Network Radio Primary SCH","","","","","",""
"PXSCDI3","ITS Network Radio","PFQ8FHK","ITS Network Operations Center SCH","PHPKJJC","ITS Network Radio EP","PPBS12K","ITS Network Radio SVC","",""
"","","POZD1T8","ITS Network Radio Primary SCH","","","","","",""
"","","P4R401V","ITS Network Radio Secondary SCH","","","","","",""
"P5S0H2Y","ITS O365 Applications","PFQ8FHK","ITS Network Operations Center SCH","PN8A0CR","ITS O365 Applications EP","PUE8994","ITS O365 Applications SVC","",""
"","","PUDXP4V","ITS O365 Applications SCH","","","","","",""
"PEBOF9G","ITS Police Desktop","PFQ8FHK","ITS Network Operations Center SCH","P92B5VC","ITS Police Desktop  EP","P8PT7VC","ITS Police Desktop SVC","",""
"","","P80S0DI","ITS Police Desktop SCH","","","","","",""
"PTGRD5D","ITS Posse Apps","PFQ8FHK","ITS Network Operations Center SCH","PIU0SFK","ITS Posse Apps EP","PT9XRMU","ITS Posse Apps SVC","",""
"","","P0EFMP5","ITS Posse Apps SCH","","","","","",""
"PQ73CTQ","ITS Presidio Service Desk","PFQ8FHK","ITS Network Operations Center SCH","PRNKOX2","ITS Presidio Service Desk EP","PTM87HP","ITS Presidio Service Desk SVC","",""
"","","PG1DLJM","ITS Presidio Service Desk SCH","","","","","",""
"P1SJNI5","ITS Public Safety","P3UGAXQ","ITS 911 Telephony SCH","PXA90UA","ITS 911 Telephony EP","PW0DD0V","ITS 911 Telephony SVC","",""
"","","PFQ8FHK","ITS Network Operations Center SCH","","","","","",""
"PWTBX1I","ITS RMS Applications","PFQ8FHK","ITS Network Operations Center SCH","PE1U1CC","ITS RMS Applications EP","P5M6U1A","ITS RMS Applications SVC","",""
"","","PIOV2TG","ITS RMS Applications SCH","","","","","",""
"P9XFBE0","ITS Salesforce Apps","PFQ8FHK","ITS Network Operations Center SCH","P0CMY7E","ITS Salesforce Apps EP","PZHGK4L","ITS Salesforce Apps SVC","",""
